Titulo del comentario,Tipo de Habitacion,Fecha reserva,Fecha del comentario,Nombre ,Me gusto,No me gusto,Duracion estadia,Puntaje,Pais procedencia,Tipo viajero
Daydream Resort não vale o custo benefício,Habitación Superior - Cama extragrande - Lado de la piscina,diciembre de 2025,Fecha del comentario: 28 de diciembre de 2025,Adriana,"1) Quarto amplo
2) Cama confortável
3) Café da manhã com bastante opções de alimentos 
4) Wallabies que circulam pelo pátio do hotel","1) Quando chegamos no quarto tinha cheiro literalmente de chulé! Abrimos o frigobar e tinha peixes nele o que colaborou para deixar mais ruim o odor no quarto. Informamos a recepção que disse que enviaria um funcionário para retirar os peixes e limpar. Ficamos 3 dias lá e 2 noites e ninguém apareceu pra retirar ou limpar. No segundo dia, 2 crianças bateram no quarto, perguntando sobre os peixes do frigobar, quando informamos que chamamos um funcionário que passava no corredor e entregamos os peixes pra ele.
2) O chão do quarto era grudento e sujo.
3) No dia da saída, estava no banheiro e vi uma barata caminhando na minha necessaire que estava no balcão da pia. Foi extremamente desagradável!!! Como a minha escova de dentes se encontrava no mesmo lugar, tive que colocá-la fora. 
4) Os restaurantes ficam abertos somente até às 20h e quem chega às 19:30 é mal atendido e dizem que não tem mais determinadas comidas. Meus filhos queriam comer frutas com chocolate que estava no cardápio e disseram que as frutas haviam terminado e que não poderiam sair aquela hora para comprar. O que foi extremamente deselegante e anti profissional, em se tratando de um resort, lotado de hóspedes. Eles deveriam ter mais estoque de alimentos. Depois de muita insistência trouxeram pra eles, uns 8 morangos bem feios e só. 
5) O hotel deixou a desejar. Diária altíssima e nem parece que é um resort. Não recomendo.",3 noches ·,"5,0",Brasil,En familia
Mangel på kvalitet,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,diciembre de 2025,Fecha del comentario: 7 de diciembre de 2025,Thomas,Naturen,Alt andet end naturen,7 noches ·,"4,0",Suecia,Persona que viaja sola
"Prachtig, zeker een aanrader.",Habitación Resort con 2 camas individuales,noviembre de 2025,Fecha del comentario: 26 de noviembre de 2025,Adrie,"Prachtig eiland met veel dieren, zoals kangaroos, papegaaien en lizards. Mooie kamer, ruim balkon en prima badkamer.",Erg rustig in het atrium zonder veel activiteiten.,3 noches ·,10,Países Bajos,En familia
Excellent !,Habitación Superior con vistas a la piscina - Cama extragrande,octubre de 2025,Fecha del comentario: 28 de octubre de 2025,Alizée,Personnel tellement chaleureux et accueillant,,3 noches ·,10,Bélgica,Persona que viaja sola
Excepcional,Habitación Resort con 2 camas individuales,marzo de 2025,Fecha del comentario: 8 de abril de 2025,Florence,"Le lieu incroyable, l!accueil et la gentillesse du personnel",,1 noche ·,10,Francia,En familia
Nightmare,Serenity King Suite,abril de 2025,Fecha del comentario: 5 de abril de 2025,Kerstin,"Das schlimmste Hotel in dem wir jemals waren. Kakerlaken, Dreck, Rost, Schimmel. Die Insel hat so viel Potential, das"" Resort"" ist nicht einmal 2 Sterne wert. Buchen Sie nicht!",,3 noches ·,"1,0",Alemania,En familia
Séjour inoubliable dans un Resort d’exception,Habitación Resort con 2 camas individuales,febrero de 2025,Fecha del comentario: 20 de febrero de 2025,Maryse,"Nous avons adoré ce complexe reposant, nature, luxueux, au milieu d’oiseaux, de kangourous et autres animaux",Rien,3 noches ·,10,Portugal,En familia
Uitstekend,Habitación Superior - Cama extragrande - Lado de la piscina,enero de 2025,Fecha del comentario: 12 de enero de 2025,Wolbrand,Uitstekend,N.v.t.,1 noche ·,10,Países Bajos,En pareja
Excepcional,Superior Ocean View Twin– Including Return Ferry Transfer,octubre de 2024,Fecha del comentario: 23 de octubre de 2024,Einat,"קנגורואים מקפצים בחופשיות באי, אוכל חינם לילדים, מתקני המלון מהממים כולל אקוואריום ענק, המון פעילויות לילדים בחינם, מומלץ בחום!",,6 noches ·,10,Israel,En familia
Aceptable,Habitación Superior con vistas al mar - 2 camas,septiembre de 2024,Fecha del comentario: 13 de septiembre de 2024,Jonas,"Tolle Alleinlage auf der Insel und viele Angebote, besonders für Kinder. Das ""Living Reef"" mit all den Meeresbewohnern ist beeindruckend. Sehr gut, dass man so viel über das Riff und die Meeresbewohner hier lernen kann. Schön auch, dass überall Wallabees und viele Vögel frei rumlaufen. Natur pur!

Sehr gutes und reichhaltiges Frühstück.","Leider riecht es ist nach den Exkrementen der Tiere, insbesondere der Wallabees. Besonders im hinteren Teil der Insel bei den Sport- und Spielplätzen, die leider auch teilweise damit verschmutzt sind. Aber das ist halt Natur und man kann nicht alles haben.Wahrscheinlich ist das auch der Geruch der Grund warum kaum jemand sich dort beim Pool aufhält, der eigentlich ganz schön ist, aber wirkt als würde dort nur selten sauber gemacht. (Z.B. große Palmenblätter im Pool auch nach 24 Std und viel Wallabee Exkremente)

Der Service war insgesamt leider enttäuschend. Manche Mitarbeiter wirkten eher demotiviert. Z.B. die Lifeguards am Pool, die eigentlich nur mit ihren Handys beschäftigt waren und/oder Musik auf ihren Kopfhörer hörten.

Als beim Frühstück einem Mädchen die Eier runterfielen ignorierten das die Mitarbeiter, so dass erst die Vögel sich darauf stürzten und danach viele Leute durchliefen und es weiter verteilten. Es wirkte als fühlte sich niemand verantwortlich das wegzumachen bzw. hätte einfach keine Lust.

 Auch als wir einmal bei der Rezeption darauf hinweisen dass ein Vogel (die sind auch überall in den Innenräumen) direkt vor den Fahrstuhl eine große Menge Exkremente hingemacht hatte, gab es keine Reaktion und alles wurde in den nächsten 24 Stunden breit im Flur und im Fahrstuhl durch weitere Personen verteilt. Ziemlich eklig.

Der Wasserspender im Fitnessbereich wurde auch trotz Nachfrage 2 Tage bisbzu unserer Abreise nicht aufgefüllt.

Beispielsweise lag auch ein Zigarettenstummel auf dem Teppichflur vor unseren Zimmer, der auch nach 6 Tagen noch dort lag. Vielleicht wird dort nur alle 7 Tage sauber gemacht oder garnicht?

Ich hatte vor meinem Aufenthalt das Hotel informiert, dass ich einen wirklich wichtigen Brief dort erhalten würde. Kein Problem war dir Antwort, man werde sich darum kümmern und bestätigte die Adresse.",5 noches ·,"5,0",Alemania,En familia
Geweldige tijd gehad,Superior Ocean View Twin– Including Return Ferry Transfer,agosto de 2024,Fecha del comentario: 14 de agosto de 2024,Michelle,"Service, vriendelijk personeel, veel keus bij ontbijt, stingray splash begeleidster was echt heel goed, kamers ruim, genoeg keus qua eten en drinken.",De vogels in de ontbijtruimte tijdens het ontbijt,2 noches ·,10,Países Bajos,En familia
Excepcional,Habitación Doble Resort con cama grande,junio de 2024,Fecha del comentario: 5 de agosto de 2024,Bastian,Tutto la colazione e le attività gratuite,,3 noches ·,10,Australia,En familia
Un paradis sur terre,Habitación Doble Superior con vistas a la piscina - 2 camas,julio de 2024,Fecha del comentario: 22 de julio de 2024,Benedicte,"Le petit déjeuner une merveille jamais vu autant de choix et de qualité 
et très belle chambre sur la mer
Le complexe est magnifique, le personnel super, les activités avec les biologistes super et le lieu incroyage et l acquarium dans l hôtel une merveille",Tout était parfait,2 noches ·,10,Francia,En familia
Un séjour de rêve sur une île de rêve,Habitación Doble adaptada para personas con discapacidad - 2 camas,junio de 2024,Fecha del comentario: 5 de julio de 2024,Benedicte,"La chambre exceptionnelle avec vue sur la mer, le lit superbe literie, petit déjeuner exceptionnel en choix en quantité et en qualité
Les piscines sur l île et le personnel au petit soin
Nous avons participé à des activités avec les biologistes marins et c était absolument unique et inoubliable. Un grand Merci",,1 noche ·,10,Francia,En familia
"Ein überteuertes, mittelmäßiges Hotel mit schlechtem Service - dort ist nichts zu erleben",Habitación Doble adaptada para personas con discapacidad - 2 camas,enero de 2024,Fecha del comentario: 18 de enero de 2024,Katrin,"Das große Aquarium ist eine schöne Idee.
Die Insel könnte schön sein/ hätte Potenzial.","Der schlechte Service begann bereits beim Check-in: Statt 14 Uhr war es 16.30 Uhr, als das Zimmer fertig wurde. Obwohl man uns sogar einen evtl. Check-in vor 14 Uhr zusagte. Das Zimmer war dann auch direkt nicht bewohnbar, da die Toilettenspülung nicht funktionierte und der Abfluss verstopft war. Also Zimmerwechsel...
Es gab wenig Aktivitäten und die es gibt, sind kostenpflichtig, der Kinderspielplatz winzig. Das Hausriff ist ein Witz - hier gibt es weniger als nichts zu sehen. Deshalb war es im Grunde nur ein teurer Hotelaufenthalt auf einer Insel mit Pool.
Das Hotel war definitiv nicht ausgebucht, dennoch waren die Restaurants am Abend angeblich ausgebucht (man verlangt hier eine Reservierung). Als wir fragten, wo wir auf dieser Resortinsel denn bitte sonst essen sollen, sagte man uns, es wäre nur noch Zimmerservice möglich. Wir sollten also ernsthaft in ein derartiges Hotel fahren, um dann im feuchten Zimmer zu hocken?
Außerdem abstoßend waren die Fäkalien der dort freilaufenden Kängurus, die nämlich nicht nur abseits der Wege zu finden waren. Niemand hat dort etwas gereinigt, so dass man den Kot ständig unter den Schuhen hatte, vermutlich sogar im Pool. Dieser war auch schlecht gereinigt.
Das Personal war nur auf Nachfrage etwas bemüht. Im Grunde scherrt sich aber niemand. Wirklich schade um diese Insel.",2 noches ·,"4,0",Alemania,En familia
Erholung pur!,Habitación Doble Resort con cama grande,noviembre de 2023,Fecha del comentario: 7 de noviembre de 2023,Uwe,"Rund um Sorglos Paket, Ankommen und entspannen, kostenloses Upgrade bekommen, sehr viele Aktivitäten sind im gesamten Preis mit inbegriffen (Schnorcheln, Kajak, SUP, Paddelboard), sehr großes und vielseitiges Frühstücksbuffet! Definitiv zum empfehlen!","Durch das Korallensterben ist leider nicht mehr viel vom Sandstrand übrig geblieben. 
Definitiv Badeschuhe anziehen!",1 noche ·,10,Alemania,En pareja
Parfait!,Habitación Superior con vistas a la piscina - Cama extragrande,septiembre de 2023,Fecha del comentario: 18 de septiembre de 2023,Tatiana,Simplement parfait,Rien,1 noche ·,10,Francia,En pareja
heerlijk resort met super faciliteiten,Habitación Resort con 2 camas individuales,agosto de 2023,Fecha del comentario: 11 de agosto de 2023,Kirsten,"Grote ruime kamers en ruim opgezet resort
Supergoed ontbijt met veel keus
Mooi zwembad",,2 noches ·,10,Países Bajos,En familia
Un resort à éviter à tout prix,Habitación Superior con vistas a la piscina - Cama extragrande,julio de 2023,Fecha del comentario: 5 de julio de 2023,Marie-claude,La chambre en elle-même était confortable,"Le bruit énorme partout présent dès le petit déjeuner entre les familles avec enfants et la sono au maximum du supportable 
L’odeur d’égout qui était prégnante y compris dans la chambre 
Nous étions situés au 2ème étage face au bassin et de la salle de petit déjeuner 
Le manque d’intérêt et d’empathie des managers de la réception quant au changement de chambre demandé 
Le prix exorbitant du séjour en rapport avec les services proposés",2 noches ·,"4,0",Francia,En familia
Sehr gut geführtes Ressort,Habitación Doble Resort con cama grande,mayo de 2023,Fecha del comentario: 25 de mayo de 2023,Stefan,Sehr gutes Frühstück,,4 noches ·,10,Alemania,En pareja
Merveilleux,Habitación Superior con vistas a la piscina - Cama extragrande,noviembre de 2023,Fecha del comentario: 24 de noviembre de 2023,Anónimo,On est seul au monde dans un endroit paradisiaque. Les infrastructures sont top pour les grands et petits,Rien,4 noches ·,"9,0",Francia,En familia
Fantástico,Habitación Superior - Cama extragrande - Lado de la piscina,diciembre de 2024,Fecha del comentario: 11 de diciembre de 2024,Karold,,,3 noches ·,"9,0",Australia,En pareja
Fantástico,Habitación Doble Superior - 2 camas - Lado de la piscina,abril de 2024,Fecha del comentario: 2 de abril de 2024,Nora,,,3 noches ·,"9,0",Australia,En grupo
Muy bien,Habitación Doble Superior con vistas a la piscina - 2 camas,diciembre de 2023,Fecha del comentario: 18 de enero de 2024,Jose,,,3 noches ·,"8,0",Guatemala,En familia
Muy bien,Habitación Doble Resort con cama grande,agosto de 2023,Fecha del comentario: 12 de agosto de 2023,Maria,,,3 noches ·,"8,0",Sudáfrica,Persona que viaja sola
Excepcional,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 17 de enero de 2026,Rocha,,,4 noches ·,10,Australia,En familia
Excepcional,Habitación Resort con 2 camas individuales,septiembre de 2025,Fecha del comentario: 25 de septiembre de 2025,Verónica,,,2 noches ·,10,Chile,En familia
Excepcional,Habitación Superior con vistas a la piscina - Cama extragrande,mayo de 2025,Fecha del comentario: 6 de mayo de 2025,Sofia,,,1 noche ·,10,Australia,En pareja
Excepcional,Habitación Resort con 2 camas individuales,noviembre de 2024,Fecha del comentario: 24 de noviembre de 2024,Daniela,,,2 noches ·,10,Argentina,En familia
Fantástico,Habitación Superior con vistas a la piscina - Cama extragrande,febrero de 2026,Fecha del comentario: 27 de abril de 2026,Gary,,,2 noches ·,"9,0",Australia,En pareja
Fantástico,Resort Twin Room - Inclusive of Return Ferry Transfers,abril de 2026,Fecha del comentario: 26 de abril de 2026,Amanda,,,1 noche ·,"9,0",Australia,En familia
Muy bien,Resort Twin Accessible Room - Inclusive of Return Ferry Transfers,abril de 2026,Fecha del comentario: 23 de abril de 2026,Fran,,,5 noches ·,"8,0",Australia,En familia
Muy bien,Alojamiento Superior con cama extragrande y vistas al océano,abril de 2026,Fecha del comentario: 20 de abril de 2026,Charlotte,,,6 noches ·,"8,0",Reino Unido,En pareja
Muy bien,Habitación Superior con vistas al mar - 2 camas,abril de 2026,Fecha del comentario: 17 de abril de 2026,Shane,,,7 noches ·,"8,0",Australia,Persona que viaja sola
Fantástico,Habitación Resort con 2 camas individuales,abril de 2026,Fecha del comentario: 14 de abril de 2026,Rowan,,,2 noches ·,"9,0",Australia,En familia
Fantástico,Alojamiento Superior con cama extragrande y vistas al océano,abril de 2026,Fecha del comentario: 12 de abril de 2026,Belinda,,,3 noches ·,"9,0",Australia,En pareja
